title,image
БОГАТЫРИ_Васнецов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/23/b40e04f6dff49cf59e3e747216de5b40/thumb/a403ccc886b1e2f8e1fc606b7931d983_x1.jpg
ЦАРЕВНА-ЛЕБЕДЬ_Врубель_Михаил.txt,https://cdn.tretyakov.ru/mytretyakov/25/b97d738c3a3ff91e6d73d69c8386383b/thumb/41c4795428468761adab610a98852391_x1.jpg
Н. АЛЕКСЕЕВА_Голубкина_Анна.txt,https://cdn.tretyakov.ru/mytretyakov/87/dfbf09560dd17169396efb0cde03fd66/thumb/1a8283d27e954d63f07f6390a9450645_x1.jpg
КОМПОЗИЦИЯ VII_Кандинский_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/26/a9741c8eefb756ef6b9776e070a8a011/thumb/66c2077fb8ba4e912f0b8afea84e3626_x1.jpg
РОЖЬ_Шишкин_Иван.txt,https://cdn.tretyakov.ru/mytretyakov/25/a6a19df773e3b1a984ed7c819114ab8d/thumb/5dfcb3f78275f03f68d3258db041efd5_x1.jpg
МОСКВА_Лентулов_Аристарх.txt,https://cdn.tretyakov.ru/mytretyakov/26/97fddff76b516aec76f48c468962f34c/thumb/ff9ba5cdd48bf524d29f03595bfcff97_x1.jpg
ВЕСНА. БОЛЬШАЯ ВОДА НА ОКЕ_Грицай_Алексей.txt,https://cdn.tretyakov.ru/mytretyakov/30/0bd22a387ef7fb6ff59a11968ee9f143/thumb/4480710514149ab0d1be251354eef5fe_x1.jpg
МИКА МОРОЗОВ_Серов_Валентин.txt,https://cdn.tretyakov.ru/mytretyakov/26/41df4faec523b3541b7f2dd0460b5c48/thumb/2dbec46faede2a9a4b22bdae4e10f8bb_x1.jpg
ПАВЛИН ПОД ЯРКИМ СОЛНЦЕМ (СТИЛЬ ЕГИПЕТСКИЙ)_Гончарова_Наталия.txt,https://cdn.tretyakov.ru/mytretyakov/26/160ef317d1321d10054eb98d68916a30/thumb/263ee84b4035fb7d53da43b86477a6ca_x1.jpg
ГРАЧИ ПРИЛЕТЕЛИ_Саврасов_Алексей.txt,https://cdn.tretyakov.ru/mytretyakov/25/278e24223f4ff6a5e2840d6f13b9a483/thumb/3656d4e52c43d0c41fdfd087f023bda6_x1.jpg
